alt;become frozen
s7eytsqwméllp;raspberry bush Rubus idaeus var. sachalinenensis.
s7eytsqwméllp,  s7itsqwméllp;raspberry bush Rubus idaeus var. sachalinensis.
s7í7eltemc;Bridge River Indians
s7i7llcw;some,(the) others
s7igw;become loose
s7íllenten;leftover food
s7istk;winter
s7íxwmen̓,  stk̓weyélp;dust, dirt, sweepings, debris.
s7íxwmen̓;sweepings
sal;cricket
sánsen;matter, pus
saral̓7í7elt;bobcat kittens
sasésat;See segsésegt. ????
sát̓ens;sniffing back  a runny nose
sát̓qwem̓;smell, sniff scent
sc7ep̓yúg̓w, sec7ep̓yúg̓w;mashed blueberries
sc7íllen,  sec7íllen;meal, food
sc7ítemc;older than one
scécp̓elst;feather, D tail feather, E long feather.
scelxtsín,  seclextsín;saliva
scemst'yé7;speargrass Stipa comata?****
scencécenc;pebbles
scen̓céllcw;packrat, bushy-tailed rat
scenc;stone
scetemcékst;thumb
scetém;in front of someone
scewt;downward swoop of wind/draft
scey̓kst;Shawl tied at side of women where children were carried.
sciláp;once around the circle
scílsem;white caps on water
scllent̓éqs;snotty nose
sclus;cliff
scpt̓am;fermented fish eggs (2wks)
scpt̓ám,  secpt̓ám;ripened salmon- or trout-eggs
screpqín,  secrepqín;noon
scték̓em,  secték̓em;fluid which was poured into a container
sctnu7éllcwemc,  sectnu7éllcwemc;people living on the other side of a road or waterway
sctsetéws,  sectsetéws;midnight
sctsíqem,  sectsíqem;grave that is being dug
scu7t;vagina
scucwkst;cuticle peels
scúcwllqen̓;fuzzballs (as of dandelion, pussywillow)
scult;heat ripples (optical), steam rising from boiling water.***
scult;steam  1,warm wind at the river in the evening  2.
scúpcwep;screech-owl,   grey bird similar to pigeon  Do
scup;have left/departed
scúyent;ice
scw7él̓elten;portage carrier
scw7el̓íll;portage
scw7íllen;freeloader
scw7ucw;odour
scwékwekw;lungs
scwelcwlékwem;whirlwind
scwelcwlúps;bird (unid.)***
scwelliqín;fluff from bull rush
scweltenwéns;fail to recognize
scwepemcékst;east wind
scwepúp;fathom
scwet̓men̓élqs;buckskin clothing
scwet̓mín̓;buckskin
scwicw;avalanche lily  Erythronium grandiflorum
scwicwéye;ant
scwik̓;dried salmon
scwiléltcw;cottonwood bark
scwmelcém;hire a dancer
scwnemt;in-laws
scwpíxem;hunter
scwyéylesemc;new sprouts
scyeláp;once around the circle
scyúlqws,  secyúlqs;thighbone
se7nó7se/sa7nó7se;one year old deer
se7nón7ese;one year old deer   Do
se7úy,  s7uy;juice
se7úy,  st̓ec;fruit juice
se7wít, s7ewít, sel̓ít;(area) behind one
secéc;numb, abated pain,  E tasteless, losing its taste
seckwéwkwe;ice floes in river
seckwlélt;egg yolk
secnek̓w7étkwemc;people of another waterway,  North Thompson people
secpéllts̓e;curing meat
secséckst  II.;numb hands
secséckst I.;thievish
secsecpcén̓;pins and needles in one's legs (sensation)
secséct;pure, sterile
sectecwpílt;adopted child
sectseqwsílt;first baby
secúlecwem;recognize the terrain/to get one's bearings
secúlecw,  secscúlecw;virgin country
sécwem;bathe
sécwens;bathe
secwépemc,  secwépmec;Shuswap
secwepemctsín,  scwepmectsín;Shuswap language
secwlét;very sick, dying,  B  very tired
secwmém̓llp, swecwmém̓llp;stringing nettle Urtica dioica, Urtica urens.
secwmúy̓e;swimming
secwsqéqxe7ten;Hudson Bay tea, Labrador tea, swamp tea Ledum groenlandicum.
secwte7úl̓i;poured down heavely  sp??
secwtském;carver
secwwéwlem;fisherman
secwyénst (also á,  E  éns);woodworm
segsésegt;penstemon, beard tongue Penstemon fruticosus.
segúgw;heavy down pour of rain
segwses;sunshine, sunlight
segwsgwentsút;limbered up, warmed up before an activity
segwsígw(t);loose
séhem;chirping of birds,  sound of chipmunks
sekení7;Sekanee tribe,a dance
sekéwemc;Cree Indians
sekí7;cactus  Opuntia fragilis
seksekík̓elt;gopher babies
sekstemíns,  sisikstenmíns;to use as a plaything
sekúsen̓t;star
sek̓úy;aunt
sekwék̓wi;my aunt
sekwekwínemc;people of Sugar Cane Reserve
sekwél̓;rosehip
sek̓wmen̓úse7;foot-trap
sek̓wmín̓;knife
sek̓wtúps;whitetail deer
selál;clear, lift of fog
selcécen̓;two-wheeled cart
selcwéycen,  selcwéy(e)ce;caribou, E  moose
sélemt;peeled apart, having come apart
selésq̓t;Tuesday
seléwll;balsam cones  Pinus monticola
selk̓emtsín;waves hit the edge, shore, D  also to go along the shore
selkstnéws;first cousin
sell7úpekst;twenty
sellts̓7úl̓i;moccasin
selpéllq;greedy about berries, try to get to picking spot first
selpentés;s/he caused h/her to become excited enough to fumble
selpentsút;rushing and fumbling with ...
selpéts̓e7;skin peels off
selpqín;come to one's senses (as after blow)
selptsín;in a hurry to fill one's mouth
selpús;startled face
sel̓;(repeated call to animals, used in stories only)
sélts̓ens;peeled
sel̓t,  sesésu7t;slave
sel̓t;slave
selúxw;crash of falling dishes/structures
selxwexwíxw;crashing sounds of dishes/pots and pans
sem7é7em;wife
sem7ésell;Dolly Varden trout
sem(e)7élcken;white man's bedbug
seme7sqíle(m)cw;dwarf
seme7sqíqlem̓ce (D  le7cw);dwarf
seme7tsín;English language
séme7tsnem;speaking English
séme7;white person
seméc;animal/bird one has as a guiding spirit
seméc;animal spirit
semlel̓énk;locust
semlóle7cw;clay
semmen̓ús;shady side of mountain
sem̓péllts̓e;hanging up a butchered animal to drain it of blood
semrél̓;lynx
semrew7í7elt;bobcat kittens
semséme7 re tk̓wem7íple7s;Federal/Provincial government,laws
semtém;food provided/given
semt̓éqe7;mushroom Agaricus camestris, Coprinus commatus
semtséts̓;groundhog
semtsetsíts̓elt;groundhog babies
semtséts̓, sisk̓,  swéwelqw;groundhog
semtséy;ling  variety
semyúy7e;a small fish (unid.)***
sen7íkw;rippling of water, small waves
sencweséllp;bush similar to bear berries, but berries have different taste
sencwt̓ínek;first stretching of the hide (in the tanning process).
seng̓án̓se,  s7en7án̓se (D  s7an);magpie
senkepélt;sick person in family
senkwéye;good, thoughtful, kind
senptóle7cw;dumplings
senqéy;wounded
senqwtséq;deceased one in family or community
sen-;superlative prefix,  the best
sents̓e7sqéxe7;horse
sents̓íntye;stupid
senwíselqw;tall timber
senxélemten;object of fear
senxetéqs;first
senxúxwlecw;coyote
sep̓álesqentem;clubbed over the head
sépen;daughter-in-law
sep̓ét;get hit with stg.
sep̓lúpem̓;hit stg. with the tail
sep̓méke7;instrument used to hit someone/stg.  with
sep̓méke7, xelsep̓méke7;baseball bat
sep̓qín̓em;clubbing
sep̓qín̓ten;club
seps;chaps (cowboy leggings)  ***
sepsiyúlecw;moss used to insulate a log house.
sep̓sqéxe7ten (also sp̓es);whip used for animals
sep̓sqéxem̓ (also sp̓es);whipped a mounted horse
sep̓sqéxen̓s (also sp̓es);whipped a mounted horse
sepsyúlecw;moss Dicranum sp., Aulacomnium sp., Lycopodium annotinum.
séq̓em,  séq̓em̓;mouth is opened wide
seq̓ém̓xwe;chocolate lily, rice root  Fritillaria lanceolata
seq̓píken̓;ice breaks up on water (lake, creek, river)
seqsíq̓emt;cracked, broken into many pieces
seq̓út;beside,  the other side
seqút̓e7centen;race horse
seq̓út,  sq̓ut;a half
seq̓wé7s;blueberry (oval-leafed )  Vaccinium ovalifolium
seqwseq̓witskékst;charcoal-black hands
seqwsimúlecw;moss covered ground
seq̓wtíke;beside the house
seq̓wtús(e7);single-bladed
seq̓wtúts(e7);single-bladed
ser;dragonfly
sérem;shaking off of fruit etc.
sérens;shaking off of fruit etc.
sert;has fallen of leaves/fruit
sés7em;northern lights
sesé7;"his uncles (collectively)".
sesel7úl̓i;too little, too few
seséle;two
seselpentés;rushed someone to the point of frenzy
seselpílc;rushing about in a frenzy
seselpús,  seselq̓pús;begin to get high
seselqcén;become weak in the knees, collapse
sesép;blueberry (lowbush)
sesepéllp;blueberry bush Vaccinium caespitosum
sesésle;two (animals) or small objects
sesísle7;little, few
sesí;sweetheart
sesóst̓a7;a little bit more
sesp̓éy;skin, hide
sespqín̓;wheat
sestwíwt;new growth of trees
sesu7tmíns;enslave
sesúq̓w;blue grouse
sesuqwíq̓welt;blue grouse chicks
sesúxwenst;descend
sesyí;friend, sweetheart
setcéqs;sleepy-head
setcús;sleepy-faced
setenmíns;took possession of stg.
set̓éqe7;blue-berries (high bush)
set̓éqe7;highbush blueberry
setétkwe;river or large body of water
set̓iyéxwe7;rushes found in water
setsé7;raven
séts̓em;whispered
séts̓ens;whispered
setsenmíns;singing about specific events in life
set.setkéllp;peavine  ????
setsínem;song
setsínten;songs of a tribe
setsínten;songs of persons or tribes
sets̓míle;baby blanket
setsséts̓s;person who is always whispering things to people
sets̓;whisper
set̓yéxwe7;freshwater clam
sewás;Indian
séwem;s/he asked them
séwens;s/he asked them
sewénc;body,female private parts
sewéncw;body
seweqín;plant (unid.).
sewíl̓t, sel̓íl̓t;last person in a race
séwllkwe;water
séxem;scrape
séxens;scrape
sexéwsem;?
sexéx7e;father-in-law
sexéy̓lek̓em;scraping a hide before tanning
sexpé7;old man
sexqélqeltemc;summer
sexqélqelten;summer
sexts̓i7éwll;barrel
sexts̓icén̓;leather shoes
sextsíne;area near the river, E riverbank
sextsíne;beside a waterway
sexts̓yúselp̓;firetongs
sexwenstéllcw;moving down into the valley
sexwéyt;all
sexwyésq̓t;every day
séyem;spreading a soft foundation of boughs, hay
séyens;spreading a soft foundation of boughs, hay
séy̓lep;boughs foundation in a sweathouse/tent
séyse;play,  also to have sporting games
séysest.s;playing with someone
sgélkwem;straining a liquid
sgúy̓emqen;fuzzball   ***
sgwesgwést;sunshine
sgwígwle;lake trout, "stealhead"
shéni7;humpback salmon
shíhye;mourning dove
sí7ne;young man
si7úl,  sye7úl;taste or colour transfers onto something else
si7úl;taste other than that of a food
si7úq̓w;rotten, rusted etc.
si7úq̓w, sye7úq̓w;rotten material
si;buddy,  E  also "uncle"
sícwelkwem;draining off liquid
sícwelkwens;draining off liquid
sícwem;spill a liquid
sícwens;spill a liquid
sícwemt;liquid spilled
sicwt;liquid has spilled
sicwt;spilled of a liquid
sígwem;s/he loosened stg.
sígwens;s/he loosened stg.
s-  III.;Nominalizer (noun-maker) (e.g. sq∆u7 "trap
s-  I.,  II.;See  ts- I.,  II.  ******
sík̓elc;grunt with exertion
sik̓t;creaking bones,hurt,ache,throb
sikúkw;this time last year
sík̓wem;chipping
sík̓wens;chipping
sílen;virgin (any age)
sílen;young women
síllts̓u;shoes
simpcw;North Thompson
sín̓(e);buddy (term of address) for boys
síntse7;alter boy
síntse;little brother
sípem;shake out/ brush off stg.
sípens;shake out/ brush off stg.
sípke7;clothes brush
síq̓em;break, crack
síq̓ens;break, crack
síq̓emt;is broken (as glass)
síse7;uncle (mother's brother), D  idem of female only, this uncle of a male is called sí7se).
sisemínst.s;paly with sb.
sisk̓;gopher  N
sisk̓;gopher
sisk̓, semtséts̓, sts̓epél;gopher
sísq̓sem;hatch (of eggs)
síste;mission sister
sitc;sleepy
sítestem,  setestím;travel by night
sítest;night
sitq̓t;day
sitq̓t ne k̓últ-ucw;birthday
síts̓em;blanket
síxcnem;moving the feet
sixelcéllcw;moving to a different building
sixelcéllcw, sexelcéllcw;move into another house
síxelc;move, change place
sixelcúlecw;moving to another place
sixelcúlecw, sexelcúlecw;move to another place or land
síxem;move stg.
síxens;move stg.
sk7ep;disease
sk7ep;sickness
sk̓allt;a drop
sk̓ec;dried meat
skek̓elmínst;goldenrod Artemisia dracunculus
skék̓i7;spider
skekík̓7et;blood relative
skekík̓7et;close relatives
skelk̓elmínst;goldenrod (plur.)
skelkléts;grasshopper
skelkléts,  kelkléts;grasshopper
skellésq't;Wednesday
sk̓elpélqw,  sek̓elepélqw;coyote rock,  pillar rock
sk̓elp;wife of man's deceased brother
skem̓cís;grizzly bear
skemk̓múm̓se;nipples
skenknép;thunder
skenknép;thunder
sk̓epelén̓llp;rosebush
sk̓eplélllp,  sek̓eplé7llp;rosebush Rosa nutkana
sk̓epqén̓;fishhead
sk̓épqen;head
sk̓eqín;pillow
sk̓etst;hide drying instrument
sk̓etst;tanning stick with stone head
sketúcwe7, seketúcwe7, E sketúcw;bog cranberry
skew;husband's sister or your brother's wife.
skew;husband's sister, woman's brother's wife
sk̓éye;glacier
sk̓i7ékst;north wind
sk̓i7élqw;dead tree, dry tree
sk̓i7ést̓ye;leftover hay from previous year
skík̓el;mountain- or rock-rabbit, Rocky Mountain pica
skíken(t);relatives of wife, E wife of ex-husband, lover of former sweetheart
skík̓et;neighborhood
skik̓éye;glacier
sk̓imemém̓kst;little finger
skint;Same as sk¡k∆el.  ***
skítsesten;Deadman's Creek Reserve
sklécwe7,  seklécwe7;muskrat
sk̓lep,  sek̓lép;coyote
skllékstem;rain
skllíken;back fat ("towel") of deer
sk̓mél̓istcen,  q̓él̓istcen.;knees
sk̓mél̓istcen,  sk̓méwistcen;knee
sk̓mél̓istcen,  stk̓éwistcen;knee
sk̓mel̓s;waist line
sk̓mém̓qe;part of plant that contains the seeds
sk̓men̓st (E  en̓s);edge
sk̓mep;foot of a tree
sk̓méple7cen;heels
sk̓mépqen;back of the head
sk̓mépstxen;upper arm
sk̓méqstcen̓;shins
sk̓mews;in between, in the middle
sk̓mews;middle of stg.,in between two people
sk̓míken;back fin
sk̓mu7sékst;middle finger
skú7pecen, kú7pece, stsets̓úye;porcupine
skú7pecen;porcupine
skú7pecen,  sets̓úye;porcupine
skú7pecen,  stkú7pecen, kú7pece;porcupine
skukuwéxen,  skuwépstxen;wings,  upper arm
skúlem;going to school
sk̓úlenst;rainbow
sk̓úlkstem;stg made with the hands
sk̓úlkwe;brew made at home
sk̓últen;guardian spirit   Do,  E  way of acting, behavior.
sk̓últen;image
skum;memento
skúsi7t, sekúse7t;stars
skuwé7;mudhen, American coot
skuwéxen;wings, sleeve, E  lower arm
skúye;child, offspring
sk̓wcus;tears
sk̓we7ém;chewing gum
skwek̓úlmen;stg. made up out of one's own head
skwekúm;souvenir, memento
skwék̓w7es;sun, clock
skwék̓w7es;sun, clock
skwék̓w7es;sun/clock/watch to tell time
skwek̓we7sménc,  skwek̓we7sném̓cw;chewing tobacco
skwek̓welem̓stsót;illegitimate child
skwekweltímc;travel up to the snow capped mountains
Skwekwíkwnac;wild potatatoe camp site
skwelk̓úlem;articles made
skwelk̓wélt;snow capped mountains
skwellén;borrowed  1,common law relationship 2.
sk̓wellentsín̓;leftover food
sk̓wel;porcupine quill
sk̓welst;quills
skwelst, ts̓níqwtke7;weapon
skwelst;weapon in the hand of a stick/club/rock
sk̓wel te t.susúsu7t;beads of porcupine quills
sk̓weltímc;go to the snow mountains
skwenkwínem;wild potatoe Claytonia lanceolata
skwén̓le;god child,  child delivered by one
sk̓wen̓llq;cultivated plants
sk̓wenmelltímc;messenger/someone else doing a chore for you
skwesqeníts̓e7;head part of animal skin  Do
skwestéy̓e;nickname
skwest;name
skwestúlecw;place name
skwets̓lém;messed up
sk̓wí7cwell;healthy looking, husky
skwi7éllp;real child as, in blended families
skwi7éy̓e;doll
sk̓wimém̓elt;infant, toddler, child
skwléltkwe;unfrozen spring water in winter
skwleqs;brown/black  bear  E
skwlólecw;green grass
skwlúlecw;mid summer
skwt̓us;face
skwtut̓s;saddle horn
skwum;souvenir, memento
sk̓yey;fridget weather   sp.???
slálqwem/sélelqwem;stripping off  bark
slam, selentás/sélens;peel
slap,  seláp;peeled apart, having come apart as at the seams
slé7e;grandfather
slé7e;great grandfather
sle7úy;great-grandfather
slec;slime
slek̓cném̓;beadwork on moccasins
slek̓íkencnem;did beadwork on moccasins
slekwlúkwe7;See syekq̓ey•kq̓e7.  ***
slem;pulling sinew apart for thread, crushing wood for rope fibres
slep;fumbling
sléwyen;animals trapped, the catch
slexéy̓em;news, a story told, information given
slexléx;guardian spirit
sll7um;fishing with a harpoon
sllak;See ck̓ak.***
sllcwilc;fog close to the ground
sllegpstés;sell on the sly
sllekmél̓es;game  also called "bone game, lehél"
sllekmél̓es;lahal game
sllencentén;discarded moccasins
slleq̓ém;instruction
slleqlleq̓tsítsen;fish wide mouth ...
slleqllqésq̓t;cloudy day
slleq̓wqín̓;frog, toad
slléwelqw;raft
slliqt;poison ivy
slliqw;flesh, skin
sllqent;large snowflakes
sllq̓wetús;ice fishing with a gaff hook
sllúmllkwe;soup
sllúmyen;catch made fishing overnight with a fishing rod
sllwélemt;widow(er)
sllwélsten;autumn, fall
smálwe;mixed berries
smé7stem;brother (of female), sister (of male)
smelkwék̓wye7;shadow
smeltá7;avalanche lily
smeltsekyá7;five-petaled buttercup Ranunculus sp.
smemencéllp (E smenemcéllp);pigweed
smenc;tobacco
smen̓sqéxe7;feed for domestic animals
smep;drained of blood after butchering
smesésq̓t;Thursday
smet̓qín̓;mushroom
smeyésq̓t;Saturday
smi7níp;toad, K  bullfrog
smúkwe7cen;spring sunflower
smúkwe7ce;sunflower
smút̓lst,  smút̓elst;black moss or fungus which grows on rocks
smúwe7;cougar, mountain lion
snalqw;Clark's nutcracker, "Hudson Bay bird".
sné7em;animal guardian spirit
sné7em;spirit power  ***
snek̓llcw;son-in-law
snénke;orphan
snéq̓le7cw;sourdough
sneséllts̓e(mc);deer moving down into the vallys in early fall
snewt;wind
snicwém;midwinter  prayer  celebration
snícwem;winter dance (spiritual gathering)
sníne7í7elt;owl babies   ???
sníne;owl
snok̓w/snuk̓w;hiccupping after a cry
snuk̓w,  csenk̓wpállts̓e;heave deep sighs, deep sobs.
snutétkwe;waves caused by wind
snyecwém;attending a winter prayer celebration
so7, so7;(Coyote singing)
solén̓sem, swelén̓sem/swelán̓sem;flower
sosíwelc;excercise
sót̓e7-ce;hurry up
sót̓u7cw;do hurry up
sp7ut̓;fog,  steam
Spálltemc;place name
spálmen;calf of leg
sp̓álqwmens;bash stg. against a tree
sp̓álqwten;stick for beating rhythm (on log or board) in slahal game
specéc;air
spegpp̓gélqw (Do   spegwélqw);burnt trees (after forest fire)
spegwp̓gwígw;confused
speke7cén;moccasins (sewn up around nose)
spéke7;gloves
speke7úl̓i;mitts
spekwpkúkwem;dice game
spélem;flat meadows, prairies
spellp̓ellmúlecw;fine dust
spelpóla;mole (animal)
spelq;penis
spelqwéqs;baldheaded eagle, E  golden eagle
spelq̓wéqs;turtle
sp̓élqwtn;stick game sticks
sp̓em;hitting someone/stg. with a stick
sp̓entés;he hitting someone/stg. with a stick
spem;picking soap-berries
spentés;he picking soap-berries
spencén;brandnew moccasins
sp̓entsúten;branch used to whip oneself in sweathouse
spép̓qe7tn;threshing machine
sp̓épqenten;club,  E   war club
spépqllts̓e;ermine
speqkenén̓ye;small dishpan
speqkén;large pan
speqmíc;swan
speqmíc;white swan
speqmín̓ (also sqepmín̓);brisket
speqpépqs;juniper berry.
speqpeq7úl̓i;saskatoon-berry
speqpéq;berries
speqpqéllp;saskatoon bush Amelanchier alnifolia
speqwéltcw;book
spet̓icán̓;slippers
spetkwlle7úl̓i;Frenchman
spet̓mémtkwe;spring water
spet̓mésq̓t;Monday
spetpetqín;rock moss/medicine for mouth sores
spetpetqín;rock tripe
spetpt̓áp;a kind of fungus (unid.).
spetptút̓lecw,  spetpetút̓lecw;buffalo grass
spéts̓en;twine, string,  rope,  Indian hemp Apocynum cannabium
spets̓néllcw;tent
spet̓úlecw;fog rising from the ground
spewt;bladderpod Lesquerella douglasii
spéxmen̓;chips, peelings
spexwllts̓wéy̓e;lightning
spi7éllcw,  spye7éllcw;eagle's nest
spi7úy;golden-eagle
spipyúy7e;birds
spiq̓w;nighthawk
spiqw;picture, show
spíse7;penis  term for small boys
spít̓em;bitterroot Lewisia rediviva.
sp̓íxle7cw;fried bread
sp̓íxmen̓;crisp residue of fried fat, "crackings"
splant;skunk
splant, sts̓ípeq;skunk
sple;E  txinúse7ten,rosary
splek̓wéqs;given to attending meetings or parties
splenwécw;patchwork quilt
splep;behind, "bottom"
sple,  sepelé;rosary beads
splíq̓wtsen;"hangmouth", pouting lower lip
splótem,  selplótem;ball game
splulk̓w;gathering of people
splúlk̓w,  secplúlk̓w;gathering of people
splútsen;mouth
sp̓séqs;nose
sptékwle, stseptékwll;myth,  legend
sptínesem;opinion, thoughts
sptíwen;suet
sptixw;spittle
sp̓u7;fart,  E  excrement.
spú7pu;animal lungs,E  human lungs
spúlcen;hooves
spúlpel;squirrel-stash  ***
spúlten;bed
sp̓úm̓llts̓e;smoked fish or meat
spúpcwqe7ten;chaff  Do  ***
spúpelqe;pussy willows
sp̓úq̓wi7;a shrub (unid.)***
sp̓uqwy;silver buffalo berry (wood is good fire wood)
spút̓em;Monday
spút̓ent;fog
spyey;joy, happiness
spyol;Mexican
spyu7;bird, E  also totem animal
sq7em;woman's breast,milk
sq̓7ep;burst, cracked (as glass)
sqelelélemcw;rooster
sqelélemcw,  sqelelélemc;male bird
sqelemcwéllp,  sqlemcwéllp;trained male hunter, fisherman
sqélemcw;male
sqelemcwsqéqxe;male animal
sqelemcwsqéxe7;guelding
sqelq̓lélx, tsqelq̓lélx;buttons
sq̓elsém;pit cooking
sqeltús;mountain
sqemáy̓e, skmáy̓e;woman's breast  (child language), soother
sq̓emxwépqen;bun (hairstyle)
sq̓entecúyent;noise of ice breaking
sq̓entecúyent;noise of ice breaking up
sq̓ep;broken on the bottom
sqepmín̓;brisket
sqepts;spring (season)
sqeq̓écw;barn owl
sqéqlemcw;young boy
sqéq̓pe;sand, pebbles
sqeq̓petsín;sandy beach, gravel beach
sq̓éscen;Canim Lake Reserve
sq̓éscnemc;Canim Lake people
sq̓eséselqw;stick used in slahal game
sqesq̓séselqw;faded (clothes)
sqewéy;bluejay
sq̓ewíken;humpback
sq̓éwllem;broke a glass/cup
sq̓éwllens;broke a glass/cup
sqewq̓ewíken;humpback salmon
sqewq̓ewílpse;humpback salmon (final e may go back to em)  E
sqexe7é7ye;puppy
sqexe7úl̓i;dog of the original Indian breed
sqéxe;dog
sqéyem;cattle drive
sq̓ílye;sweat house
sq̓ítxleqs;badger
sqlel̓éllp;beaver
sqlel̓éy̓lek̓;beaver skin
sqlel̓;money,  beaver
sqlelten7úl̓i;sockeye salmon
sqlélten;salmon
sqlewíts̓e7;beaver skin (blanket)
sqlu7éy̓lek̓;beaver skin
sqlu7úl̓i;beaver
sq̓mélten;throat,  gullet
sqts̓em;woven,  darning of socks etc.
squ7llt;bee,  wasp, yellowjacket
squ7lltéllcw,  sqwe7lltéllcw;bee's  nest
sq̓u7;trap, snare
sq̓ucén̓;fishtail
sq̓úgwi;younger brothers and sisters
sq̓úllts̓em;ashes
sqúllts̓em;ashes inside a pipe
sq̓úm̓ke;prairie chicken
sq̓úmke;prairie chicken
sq̓úmqe;prairie-chicken
squqwyém,  seqwyém;ghost
squwéy, skuwéy;bluejay, Steller's jay
squyt;dust
sqw7ets;warm temperature/weather/climate
sq̓w7ex;smoke from a fire
sq̓wéleps;brooch, clasp, safety pin
sqwelqwélt;powder snow
sqwelq̓wélt;skin rash
sqwelqwlúlecw;dust, ashes
sqwelqwlúlecw??;,dust ashes
sq̓wemtsín;by the shore
sqweq̓wicén,  sqweq̓wicén̓;Showy Aster
sqwéqwsqwe7;bluejay Do
sqwéq̓wxmen̓;deerhoof-and-bearclaw   wrist- or ankle ornament
sqweqwyém;ghost
sq̓wetxwyéy̓leqs;shrew
sq̓wexéselp̓;smoke from a fire
sq̓wexmém̓nek;dipper (bird)
sq̓wext;foot
sqwext;strange sighting  by others
sqwí7qwe;groundhog, whistler, hoary marmot
sq̓wicén̓;Showy Aster    Aster conspicuus
sqwíts̓em;laundered clothing
sqwléselp̓;ashes
sq̓wlew;berries picked
sqwlúlecw;ashes
sq̓wlus;open fire  roast
sq̓wlus;roast by an open fire,roast deerhead
sqwlut,  seqwlút;word
sqwmém̓qe;fist
sq̓wmépqen;bun (hairstyle)
sqwmup;boil (skin infection)
sqwse7éy̓e;stepson
sqwse7;son
sq̓wsu7;bundles
sq̓wtéllts̓e;fifty cents
sq̓wtel̓s,  cseq̓wtél̓s;half
sq̓wtel̓s;half
sq̓wtepéllcw;space beside house
sq̓wteqs,  seq̓wtéqs;the other end of...
sqwyits,  seqwyíts;rabbit
sqwyiyts;baby rabbit
sq̓wyútsk,  sq̓wyitsk;charcoal
sq̓yex;drying rack for salmon
sr7al;early evening (the hour after sundown)
st̓7ek;coming forward or towards one
st̓7éksmens;peeked at
st7íq̓welqw;sap of jackpine gathered as food in ribbon strips
st7úcwse7;frozen friut or vegetables
stal;extended, stretched,line, clothesline
st̓altcwícwelt;calf
st̓amált,  stam̓ált;cows
stam̓;easy,weak, brittle, fragile object
st̓céctkwe,  spúlkwem (E  also kwe);water seeping out of the ground
st̓céctkwe,  sqwléltkwe;spring, water seeping out of the ground
st̓céctkwe;underground stream
stcencnéscen;red moss found on rocks
stcet̓ém;to keep stg.
stcet̓entés;he to keep stg.
st̓cétkwe;broth
stcet̓sqéxe7;to keep sb.'s horses
st̓címen,  set̓címen;spoon
stcíspe7;bristling tail
stcistwécw;both stopped while travelling in opposite directions.
stculensmólecwem;algae on bottom of water
stcup;stg. that was given to me
stcúsemst.s;looking for  he/she/it
stcúsmens;come to look for somebody in particular
stcw7éne;carried over one shoulder
stcwecúcwelt;gooseberry  E
stcwelcúcwel;gooseberry Ribes lacustre
stcwelcúcwelk̓w;cigarettes (roll your own type)
stcwelcwecúcwelk̓w;cigarettes rolled from tobbaco
stcwelqín;hill
stcwetpéltcw;last rib
stcwlal̓s;draw in mountains
stcyestwécw;facing each other
stcyus;facing one
ste7,-ens;drink
sté7te;girl of 10-15 years old
stécken;pack carried on back
stecmín;comb
stect̓íle;pregnant
stegwéy̓e;footrace
st̓ek7él̓elten;crosspiece instrument for a canoe
st̓ek7él̓ll;crosspiece in canoe
st̓ekcén;tracks
stekék̓lle;grayish-spotted (esp. of a breed of chickens)
st̓ekéktkwe;small spring, spring water
st̓ékem;making a fishing platform
st̓ek;fishing platform
stek̓lép;root
stek̓lép;roots
sték̓le;provision for travel,box lunch
steklér;inserted in a scabbord
stekleríts̓e7;hidden under one's clothes
st̓ekméke7;crosspiece (any type)
st̓ekméqs;protruding point of stg.
st̓ekmús;is protruding
st̓eks;peeking out
st̓ektén̓,  st̓ektén;habitual path, E  tracks
stekteqwtút̓qw;spotted, speckled
stektíts̓e7;shirt/blouse
stektsek̓étkwe;glittering of light on water
stekts̓ekwe7éke7;left handed
stekts̓enwécw;crossed (as sticks,) D blessed with the sign of the cross.
stektsétkwe(7);floating on top of water
stekts̓ílem;birth mark
stekts̓léwt;standing upon
stekts̓lúcw;landing on one's feet  or standing upon stg.
stekts̓lutqín;standing on top of a hill
stektsmén̓k;liver of the ling
stektsmíns, tekstsentés;place  stg. on top of stg.
stektsqús;placed on the stove
stektsúsem;wood
stektsút;article lying on top of stg.
stekts̓útem̓;gymnastic jump onto a horses back
st̓ekw;arrogant
st̓ékwe7;overpriced,proud
stekwtsín;dumb, unable to speak
st̓ekwyénst;medicine made of balsam tree bark
stekyál;animals are crowded  together in a herd
stekyál;intertwined string/rope
stelk̓qín;hairband/headband
stelltellcén̓;with legs stretched out
stelltéll;lying  straight out
st̓elmúps;beaver tail
st̓elsqélecw;soul
steltál.lecw;crawling plant
stem;belongings,  things
stem̓(ce)céckst;little finger
stem̓cít.s;hurriedly done stg. for someone
stemelqín;arrow head
stemémc,  stemc7úl̓i;youngest in family
stememc,  stmemc;younger brother or sister
stém̓eten;gadget
stemét;friend, cousin
stém̓i;what?
st̓emkelt7éy̓e;stepdaughter
st̓emkélt;daughter
stemqwéllp;thornberry bush Crataegus douglasii
st̓emqwíts̓e7  (st);quilt
stem̓stás;he/she found the chore/work easy
stemstítem̓t;clothing,  belongings
stemt̓emált, tq̓éye;cattle
stemtém̓eten;in-laws (negative term)????
stemt̓emín̓;wood chips from chopping wood
